Experiment,Crossover,Mutation,Generations,Population,Best Function,Error,Execution Time
2,0.1,0.5,3,100,"add(mul(x, x), sin(x))",0.0,0.06787
10,0.1,0.8999999999999999,3,100,"sub(mul(x, x), sin(neg(x)))",0.0,0.08615
27,0.5000000000000001,0.5,3,125,"add(mul(x, x), sin(x))",0.0,0.10059
34,0.5000000000000001,0.8999999999999999,3,100,"add(sin(x), mul(x, x))",0.0,0.09641
19,0.30000000000000004,0.7,3,125,"mul(x, x)",0.39824,0.09736
17,0.30000000000000004,0.7,1,125,"mul(x, x)",0.40542,0.04912
15,0.30000000000000004,0.5,3,125,"mul(x, x)",0.41056,0.09626
18,0.30000000000000004,0.7,3,100,"mul(x, x)",0.43452,0.08224
12,0.30000000000000004,0.5,1,100,"mul(x, x)",0.45741,0.04176
22,0.30000000000000004,0.8999999999999999,3,100,"mul(x, x)",0.46788,0.09481
30,0.5000000000000001,0.7,3,100,"mul(x, x)",0.47006,0.08739
14,0.30000000000000004,0.5,3,100,"mul(x, x)",0.47104,0.06725
29,0.5000000000000001,0.7,1,125,"mul(x, x)",0.47484,0.06752
31,0.5000000000000001,0.7,3,125,"mul(x, x)",0.47636,0.10437
16,0.30000000000000004,0.7,1,100,"mul(x, x)",0.4839,0.03938
28,0.5000000000000001,0.7,1,100,"mul(x, x)",0.48465,0.04631
5,0.1,0.7,1,125,"mul(x, x)",0.48765,0.04468
21,0.30000000000000004,0.8999999999999999,1,125,"mul(x, x)",0.48884,0.0619
6,0.1,0.7,3,100,"mul(x, x)",0.49014,0.07697
20,0.30000000000000004,0.8999999999999999,1,100,"mul(x, x)",0.5038,0.05659
1,0.1,0.5,1,125,"mul(x, x)",0.51239,0.04074
0,0.1,0.5,1,100,"mul(x, x)",0.51367,0.03449
26,0.5000000000000001,0.5,3,100,"add(mul(x, x), 0)",0.52231,0.08978
33,0.5000000000000001,0.8999999999999999,1,125,"mul(x, x)",0.53314,0.04922
3,0.1,0.5,3,125,"mul(x, x)",0.53819,0.09458
8,0.1,0.8999999999999999,1,100,"protectedDiv(mul(x, x), cos(0))",0.53955,0.05384
13,0.30000000000000004,0.5,1,125,"mul(sub(x, 0), x)",0.54757,0.0519
35,0.5000000000000001,0.8999999999999999,3,125,"mul(x, x)",0.54798,0.11691
11,0.1,0.8999999999999999,3,125,"mul(x, x)",0.5505,0.10564
24,0.5000000000000001,0.5,1,100,"mul(x, x)",0.55433,0.03866
4,0.1,0.7,1,100,"mul(x, x)",0.55808,0.03803
9,0.1,0.8999999999999999,1,125,"mul(mul(x, x), protectedExp(0))",0.56324,0.05651
23,0.30000000000000004,0.8999999999999999,3,125,"mul(x, x)",0.58541,0.1083
7,0.1,0.7,3,125,"sub(mul(x, x), mul(x, 0))",0.58762,0.09451
25,0.5000000000000001,0.5,1,125,"add(mul(x, x), protectedDiv(1, 1))",1.59271,0.05288
32,0.5000000000000001,0.8999999999999999,1,100,"add(mul(x, 1), add(x, 1))",22241574.9403,0.05149
